City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Ixtapa,MX,83.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
417,Buraydah,SA,89.49,clear sky,26.326,43.975,فندق راحة السلام
418,Salalah,OM,79.43,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
420,Bolobo,CD,85.05,light rain,-2.1667,16.2333,Hotel de Stephen
421,Ilhabela,BR,78.12,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
422,Laguna,US,80.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
424,Aliaga,PH,76.03,overcast clouds,15.5167,120.8667,Jhenie rich ramos
427,Tarquinia,IT,80.38,clear sky,42.2482,11.7553,Hotel Villa Tirreno
429,Bintulu,MY,75.09,overcast clouds,3.1667,113.0333,900 Boutique INN
432,Ishigaki,JP,83.48,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
434,Ormond Beach,US,87.17,overcast clouds,29.2858,-81.0559,Makai Beach Lodge
437,Conde,BR,83.46,clear sky,-7.2597,-34.9075,Pousada Beija Flor
438,Port Moresby,PG,75.07,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
440,Terrasini,IT,82.47,clear sky,38.146,13.0844,Florio Park Hotel
445,Bartica,GY,81.82,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
447,Mana,GF,87.58,scattered clouds,5.6592,-53.7767,LE SAMANA
449,Nabire,ID,75.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
451,San Andres,CO,82.81,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
455,Mersing,MY,78.46,overcast clouds,2.4312,103.8405,Timotel Hotel
456,Kuching,MY,75.49,overcast clouds,1.55,110.3333,The Ranee Boutique Suites
458,Solano,US,78.01,clear sky,38.2333,-121.9511,Travis AFB FamCamp
461,San Quintin,MX,76.03,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
463,Sur,OM,87.93,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
465,Jiujiang,CN,75.02,light rain,29.7333,115.9833,Tianhai Fashion Theme Hotel
469,Mayumba,GA,76.57,overcast clouds,-3.432,10.6554,LIKWALE LODGE
471,West Bay,KY,89.06,clear sky,19.3667,-81.4167,Calypso Cove
473,Marovoay,MG,83.07,broken clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
478,Belmonte,BR,81.99,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
479,Xuddur,SO,85.78,overcast clouds,4.1213,43.8894,Banjanay Hotel
480,Coahuayana,MX,85.32,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
487,Metro,ID,76.12,few clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
488,Bull Savanna,JM,84.56,few clouds,17.8868,-77.5902,Big Red's
