City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Kitimat,CA,54.0524,-128.6534,53.91,40,100,3.74,moderate rain
237,Mae Hong Son,TH,19.3003,97.9685,74.25,95,62,1.99,broken clouds
238,Tura,IN,25.5198,90.2201,72.93,85,100,3.36,overcast clouds
239,Hirara,JP,24.8,125.2833,83.71,74,2,7.29,clear sky
240,Imeni Poliny Osipenko,RU,52.4201,136.4853,43.25,72,95,7.0,overcast clouds
241,Broken Hill,AU,-31.95,141.4333,44.74,72,0,12.86,clear sky
242,Dunedin,NZ,-45.8742,170.5036,45.81,70,8,1.01,clear sky
243,Puerto Leguizamo,CO,-0.1934,-74.7819,92.57,48,64,2.13,broken clouds
244,Nikolskoye,RU,59.7035,30.7861,48.02,80,100,7.9,light rain
245,Narsaq,GL,60.9167,-46.05,39.52,37,99,3.44,overcast clouds
246,Bud,US,39.447,-86.1758,74.21,89,93,9.06,overcast clouds
247,Tuatapere,NZ,-46.1333,167.6833,45.82,90,72,3.8,broken clouds
248,Vysokaya Gora,RU,55.9128,49.3017,44.37,57,71,12.08,broken clouds
249,College,US,64.8569,-147.8028,30.0,76,100,3.33,overcast clouds
250,Shingu,JP,33.7333,135.9833,78.91,93,84,3.29,broken clouds
251,Baraboo,US,43.4711,-89.7443,62.29,78,100,1.99,overcast clouds
252,Upata,VE,8.0086,-62.3989,85.6,56,100,6.71,overcast clouds
253,Hastings,GB,50.8552,0.5729,71.53,63,43,6.91,scattered clouds
254,Castro,BR,-24.7911,-50.0119,89.44,26,2,6.35,clear sky
255,Sao Joao Da Barra,BR,-21.6403,-41.0511,83.55,58,0,7.96,clear sky
256,Goulburn,AU,-34.75,149.7167,34.16,92,23,1.9,few clouds
257,Awjilah,LY,29.1081,21.2869,98.94,12,0,8.34,clear sky
258,Port Hardy,CA,50.6996,-127.4199,53.96,92,100,11.3,overcast clouds
259,Livadiya,RU,42.8692,132.6764,64.58,97,94,9.24,overcast clouds
260,Coihaique,CL,-45.5752,-72.0662,60.03,46,0,1.83,clear sky
261,Chara,RU,56.9064,118.2631,53.53,71,87,1.68,overcast clouds
262,Krasnorechenskiy,RU,44.6265,135.3532,52.39,100,100,2.15,overcast clouds
263,Maarianhamina,AX,60.0973,19.9348,49.01,61,82,5.35,broken clouds
264,Nanakuli,US,21.3906,-158.1547,77.11,77,100,14.07,overcast clouds
265,Maragogi,BR,-9.0122,-35.2225,80.92,60,21,7.4,few clouds
266,Tautira,PF,-17.7333,-149.15,77.45,75,17,10.45,few clouds
267,Eregli,TR,37.5133,34.0467,75.36,27,1,4.52,clear sky
268,Daura,NG,11.5538,11.4085,91.17,41,35,6.2,scattered clouds
269,Tupiza,BO,-21.45,-65.7167,63.41,45,92,12.86,overcast clouds
270,Trelew,AR,-43.249,-65.3051,73.17,15,0,18.14,clear sky
271,Turbat,PK,26.0023,63.044,89.2,51,9,9.48,clear sky
272,Bethel,US,41.3712,-73.414,72.91,73,28,1.99,scattered clouds
273,Chegdomyn,RU,51.1167,133.0167,45.27,93,100,2.04,overcast clouds
274,Kajaani,FI,64.2273,27.7285,39.11,76,24,5.79,few clouds
275,Qingyuan,CN,23.7,113.0333,81.27,81,24,2.35,light rain
276,Brawley,US,32.9787,-115.5303,89.17,15,0,2.48,clear sky
277,Sangar,RU,63.9242,127.4739,36.28,85,88,6.46,overcast clouds
278,Tecoanapa,MX,16.5167,-98.75,83.86,66,53,3.67,broken clouds
279,Chilca,PE,-12.5211,-76.7372,62.85,79,78,6.78,broken clouds
280,Lesnoye,RU,58.2841,35.5158,39.18,98,100,9.13,overcast clouds
281,Itarema,BR,-2.9248,-39.9167,88.45,52,48,17.94,scattered clouds
282,Kars,TR,40.602,43.095,59.49,35,52,8.16,broken clouds
283,Cabedelo,BR,-6.9811,-34.8339,81.99,62,8,11.32,clear sky
284,Monte Alegre,BR,-2.0078,-54.0692,85.05,60,100,3.98,overcast clouds
285,Codrington,AU,-38.2667,141.9667,51.26,91,96,11.45,overcast clouds
286,Vilhena,BR,-12.7406,-60.1458,99.48,17,82,2.84,broken clouds
287,Koraput,IN,18.8167,82.7167,70.77,91,96,4.38,overcast clouds
288,Kurdzhinovo,RU,43.9884,40.9552,54.82,95,86,1.41,overcast clouds
289,Le Port,RE,-20.9373,55.2919,67.6,70,15,4.68,few clouds
